longitude,latitude,housing_median_age,median_income,rooms_per_household,bedrooms_per_room,population_per_household,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,cluster_location_0,cluster_location_1,cluster_location_2,cluster_location_3,cluster_location_4,cluster_location_5,cluster_location_6,cluster_location_7,cluster_location_8,cluster_location_9,median_house_value
-0.5365000374720477,-0.08341874449693194,-1.8108075971570041,-0.74424031057517,-0.3316757881842298,0.3652656522293311,-0.15133215329736444,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,146400.0
1.2529602844920087,-1.2490449638871597,-0.8503011555981083,0.7933948813550951,0.15483274333818803,-0.5234549491796104,0.03778453866612763,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,165800.0
0.8342564765672701,-0.8853695834374081,0.43037409981375285,-0.2831111986370316,-0.006608289211645566,-0.25490256480302975,0.6443897062207113,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,160600.0
-0.40191667063909847,1.0915324846484158,0.030163082497546276,-1.377645375200919,-0.3104303994915665,0.30689844150702245,-0.18708298505901116,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,91400.0
-1.3390156693277935,1.0122699017298828,-0.049879120965695044,-0.2908471355987949,-0.5792570796945291,0.9568175392990033,-0.2471090059930978,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,273400.0
0.6847194023084368,-0.7315069224778988,0.7505429136667181,-0.4210799526246498,-0.3098236011111732,0.12432249113624834,0.055563527345046604,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,166300.0
1.2629294227759291,-1.4122326346017924,-0.45009013828190164,1.0115483036768138,0.5658341577388256,-1.2446429333540048,0.07950471429209463,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,171300.0
0.7096422480182412,-0.7781319712535086,0.19024748942402891,-0.4296231177911184,-0.4851496012333029,0.21576377353404946,0.22859463246308773,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,177000.0
1.1084077793751321,-1.1418073517032603,-0.770258952134867,1.4064847028290834,0.4134659567273188,-1.1198337918967334,-0.0054826175914066445,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,274100.0
-1.2941545470501412,0.8397572212601271,0.43037409981375285,0.43532190355105255,-0.4786663910540494,0.38592075715621904,-0.14431787620812112,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,405900.0
-1.2094168716368008,1.2593826602406117,-1.2505121729143147,0.3791522743069468,-0.07625430694031668,-0.46548044608762573,0.009248370123182503,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,151700.0
-1.144617472791308,0.8257697066274438,-1.0103855625245908,2.513194571480615,0.1240603130517525,-0.6521895939054998,0.11744664532916085,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,267000.0
0.7096422480182412,-0.8294195249066785,0.6705007102034768,0.3741070980275359,0.037392076785931434,-0.5382439607326079,-0.08915180003497805,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,195400.0
1.218068300498277,-0.5496692322530231,-0.9303433590613496,-0.6507363768634248,0.011678407433841591,-0.23199477926327522,-0.08471987579918948,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,110400.0
-2.111623886331771,1.7722581967723092,0.35033189635051154,-1.1632590178344935,-0.2172652794383948,0.16441806325338745,-0.11094295454318132,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93600.0
